"Município(Res)";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"317210 Volta Grande";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"317220 Wenceslau Braz";1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3
"310000 Município ignorado - MG";1;1;0;3;0;1;4;0;4;0;2;2;2;3;6;1;3;33
"320010 Afonso Cláudio";0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;3
"320016 Água Doce do Norte";0;0;0;0;0;0;1;0;2;0;0;0;0;0;2;1;0;6
"320013 Águia Branca";1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;4
"320020 Alegre";1;0;1;0;2;0;1;0;1;2;2;0;1;0;1;1;0;13
"320030 Alfredo Chaves";0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1;1;7
"320035 Alto Rio Novo";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2
"320040 Anchieta";0;1;0;1;1;0;2;0;1;0;1;1;0;0;2;0;3;13
"320050 Apiacá";0;0;0;0;2;1;1;2;0;1;1;0;1;0;0;0;1;10
"320060 Aracruz";1;1;1;3;2;1;1;0;4;0;5;5;1;3;2;2;7;39
"320070 Atilio Vivacqua";1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;1;7
"320080 Baixo Guandu";0;0;0;1;1;0;0;1;1;2;1;0;0;0;2;0;4;13
"320090 Barra de São Francisco";0;0;0;1;1;1;2;1;5;0;3;2;6;1;0;2;2;27
"320100 Boa Esperança";0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;4
"320110 Bom Jesus do Norte";2;1;2;1;2;1;0;3;4;1;0;1;1;1;0;2;3;25
"320115 Brejetuba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"320120 Cachoeiro de Itapemirim";9;7;5;13;14;11;11;13;15;13;15;13;12;10;14;25;17;217
"320130 Cariacica";23;27;19;17;22;17;18;26;19;20;30;21;21;29;28;38;34;409
"320140 Castelo";0;1;1;1;0;1;0;0;1;2;1;2;1;0;3;1;1;16
"320150 Colatina";3;2;6;6;3;3;2;2;3;5;1;7;5;3;4;7;10;72
"320160 Conceição da Barra";1;1;0;0;1;0;1;1;0;0;0;1;1;4;4;3;5;23
"320190 Domingos Martins";0;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;8
"320200 Dores do Rio Preto";0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;3
"320210 Ecoporanga";0;1;0;0;1;0;0;0;1;0;1;0;1;3;1;0;3;12
"320220 Fundão";1;0;0;0;0;0;0;0;1;2;0;0;1;1;1;0;2;9
"320225 Governador Lindenberg";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2
"320230 Guaçuí";0;2;1;1;2;2;0;0;0;1;3;1;0;1;0;0;1;15
"320240 Guarapari";7;2;4;5;5;3;7;5;9;4;6;5;8;11;7;14;9;111
"320245 Ibatiba";0;0;0;0;0;0;0;0;2;1;0;0;0;0;2;0;0;5
"320250 Ibiraçu";0;0;0;1;0;1;1;0;0;1;0;2;2;0;0;2;2;12
"320255 Ibitirama";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2
"320260 Iconha";0;0;1;0;0;0;0;0;0;0;0;3;0;0;1;1;1;7
"320265 Irupi";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
"320270 Itaguaçu";0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;3
"320280 Itapemirim";0;1;0;0;2;3;1;1;1;2;2;2;0;6;1;1;0;23
"320290 Itarana";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"320300 Iúna";1;2;0;0;0;0;0;0;0;1;1;1;0;3;1;1;0;11
"320305 Jaguaré";0;0;0;0;1;0;0;1;0;0;2;2;0;1;2;0;2;11
"320310 Jerônimo Monteiro";0;0;0;0;1;1;1;0;2;0;0;0;0;0;0;1;0;6
"320313 João Neiva";0;0;1;0;0;0;0;0;0;2;1;0;1;1;1;0;0;7
"320316 Laranja da Terra";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"320320 Linhares";1;4;1;2;1;5;3;1;5;5;6;7;7;4;8;9;11;80
"320330 Mantenópolis";0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;4
"320332 Marataízes";0;1;2;3;0;1;1;1;2;1;0;1;0;4;3;3;1;24
"320334 Marechal Floriano";1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3
"320335 Marilândia";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
"320340 Mimoso do Sul";0;0;0;1;0;0;0;1;1;1;0;1;1;2;1;0;0;9
"320350 Montanha";0;0;0;0;0;0;1;0;2;1;2;3;0;1;1;2;2;15
"320360 Mucurici";0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;4
"320370 Muniz Freire";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"320380 Muqui";0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;5
"320390 Nova Venécia";0;0;0;0;0;0;0;1;1;0;1;3;0;0;1;2;5;14
"320400 Pancas";0;0;0;1;1;0;0;0;1;3;0;0;1;0;1;0;1;9
"320405 Pedro Canário";3;0;1;0;1;2;0;0;3;0;1;0;0;3;1;0;1;16
"320410 Pinheiros";0;0;0;0;0;0;1;2;2;1;2;1;0;2;2;2;0;15
"320420 Piúma";1;0;0;1;2;2;1;2;3;0;1;2;1;1;0;3;2;22
"320425 Ponto Belo";0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;1;5
"320430 Presidente Kennedy";0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;7
"320435 Rio Bananal";0;0;0;0;1;0;0;1;0;1;0;0;1;2;1;2;1;10
"320440 Rio Novo do Sul";0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;2;6
"320450 Santa Leopoldina";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;3
"320455 Santa Maria de Jetibá";0;0;1;0;0;0;1;2;2;0;0;1;0;0;0;2;0;9
"320460 Santa Teresa";0;0;0;1;0;0;0;1;0;0;1;0;2;0;0;0;0;5
"320465 São Domingos do Norte";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"320470 São Gabriel da Palha";0;1;0;0;0;0;0;2;0;0;1;1;0;1;1;0;0;7
"320480 São José do Calçado";0;0;1;1;1;0;0;1;0;0;3;1;3;2;2;2;2;19
"320490 São Mateus";2;1;0;2;3;2;3;1;4;1;4;4;5;2;4;5;5;48
"320495 São Roque do Canaã";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"320500 Serra";14;12;20;12;17;32;26;24;27;24;24;21;24;29;34;36;48;424
"320501 Sooretama";0;0;0;1;0;0;1;0;1;1;1;0;2;1;0;2;0;10
"320503 Vargem Alta";0;0;0;0;0;0;1;1;0;0;0;0;1;2;0;0;0;5
"320506 Venda Nova do Imigrante";0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;5
"320510 Viana";2;1;3;3;2;4;1;6;4;7;4;6;6;3;7;4;3;66
"320515 Vila Pavão";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;4
"320517 Vila Valério";0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;5
"320520 Vila Velha";32;19;32;18;21;17;31;36;30;21;31;28;28;39;32;42;30;487
"320530 Vitória";45;46;39;25;39;31;19;33;39;30;36;36;28;43;30;31;27;577
"320000 Município ignorado - ES";5;7;4;0;0;0;0;0;0;0;0;0;0;1;0;1;0;18
"330010 Angra dos Reis";10;13;5;11;8;12;8;10;10;16;9;7;6;8;4;7;8;152
"330020 Araruama";10;6;2;3;2;3;5;6;11;2;6;8;5;8;4;9;14;104
"330022 Areal";0;0;0;1;0;0;0;2;2;0;1;0;0;0;0;2;1;9
"330023 Armação dos Búzios";0;1;1;2;1;1;2;1;2;2;6;2;3;2;0;3;1;30
"330025 Arraial do Cabo";1;2;1;4;2;4;2;3;1;1;1;5;0;2;1;1;2;33
"330030 Barra do Piraí";4;6;2;3;5;6;3;4;4;5;2;2;1;2;3;3;6;61
"330040 Barra Mansa";7;18;8;15;10;11;10;15;25;10;8;8;9;10;8;15;9;196
"330045 Belford Roxo";51;48;52;34;40;40;54;56;55;51;62;64;51;50;56;66;52;882
"330050 Bom Jardim";1;1;0;2;2;1;0;0;1;0;0;0;0;0;0;0;1;9
"330060 Bom Jesus do Itabapoana";10;7;5;1;7;7;7;2;4;7;5;3;0;5;2;5;3;80
"330070 Cabo Frio";12;8;9;14;14;7;11;15;10;7;7;13;12;16;17;11;11;194
"330080 Cachoeiras de Macacu";0;3;2;0;1;0;2;2;3;3;2;2;0;4;2;4;3;33
"330090 Cambuci";0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;4
"330100 Campos dos Goytacazes";36;42;36;36;42;40;51;37;47;47;55;53;51;47;42;45;55;762
"330110 Cantagalo";0;0;1;0;1;0;0;0;1;1;2;0;0;2;1;0;0;9
"330093 Carapebus";0;0;0;1;2;0;0;0;2;1;0;0;1;0;1;0;0;8
"330115 Cardoso Moreira";1;0;1;2;0;0;0;0;1;1;1;1;0;1;0;0;0;9
"330120 Carmo";1;0;1;0;0;1;0;0;2;1;0;1;2;0;0;4;2;15
"330130 Casimiro de Abreu";1;0;0;1;2;1;0;0;1;1;1;0;2;1;3;1;1;16
"330095 Comendador Levy Gasparian";0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;5
"330140 Conceição de Macabu";2;0;0;2;1;0;2;1;1;2;1;1;1;1;1;1;2;19
"330150 Cordeiro";4;1;1;0;1;2;1;1;3;1;1;2;1;1;0;2;0;22
"330160 Duas Barras";0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;5
"330170 Duque de Caxias";110;95;88;71;85;103;78;104;103;82;92;87;107;119;122;103;114;1663
"330180 Engenheiro Paulo de Frontin";0;0;1;0;2;1;1;0;0;0;0;0;0;1;0;0;0;6
"330185 Guapimirim";2;3;3;2;4;3;3;3;2;6;2;1;3;4;8;7;2;58
"330187 Iguaba Grande";0;0;0;0;1;0;0;0;2;0;1;0;2;0;1;2;1;10
"330190 Itaboraí";24;11;17;12;11;21;16;15;23;19;6;18;18;19;15;21;26;292
"330200 Itaguaí";12;9;2;7;8;9;4;12;5;7;12;15;9;11;8;13;11;154
"330205 Italva";0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;2;0;5
"330210 Itaocara";2;1;0;2;1;2;1;2;1;1;0;1;5;2;1;1;1;24
"330220 Itaperuna";3;5;2;9;5;8;10;7;7;7;6;7;10;4;6;4;7;107
"330225 Itatiaia";0;2;1;4;0;2;2;1;2;3;0;0;0;1;0;0;2;20
"330227 Japeri";5;11;13;8;16;17;7;16;21;13;11;13;16;12;13;15;12;219
"330230 Laje do Muriaé";0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;4
"330240 Macaé";17;20;18;14;8;12;18;26;14;16;31;22;31;15;16;13;27;318
"330245 Macuco";0;0;2;0;0;0;1;0;1;1;0;0;1;1;0;0;2;9
"330250 Magé";30;15;21;11;18;19;28;18;19;26;18;19;16;22;29;15;22;346
"330260 Mangaratiba";3;3;3;0;4;1;3;6;2;2;4;5;6;3;9;2;7;63
"330270 Maricá";6;5;6;5;4;7;5;12;11;10;11;7;8;6;13;8;7;131
"330280 Mendes";2;2;0;0;1;2;1;4;2;1;0;0;1;1;0;1;1;19
"330285 Mesquita";0;0;0;0;0;25;20;15;19;21;20;15;29;32;28;18;27;269
"330290 Miguel Pereira";1;1;3;2;0;1;2;0;0;4;0;4;2;2;2;0;3;27
"330300 Miracema";1;2;4;1;3;3;2;1;2;8;1;1;2;4;0;4;4;43
"330310 Natividade";1;1;2;0;0;4;4;0;3;1;0;1;3;2;1;2;0;25
"330320 Nilópolis";29;16;15;23;13;15;21;22;19;18;20;9;17;26;28;28;26;345
"330330 Niterói";109;85;68;57;72;76;61;73;63;51;44;54;44;44;51;56;41;1049
"330340 Nova Friburgo";23;8;5;13;11;6;13;9;15;17;16;12;14;8;11;9;12;202
"330350 Nova Iguaçu";173;143;128;120;120;119;100;120;135;87;82;86;106;117;107;103;117;1963
"330360 Paracambi";1;4;2;5;6;1;2;6;8;2;6;4;1;4;4;6;9;71
"330370 Paraíba do Sul";4;1;2;1;1;1;3;5;4;2;3;2;3;3;3;3;4;45
"330380 Parati";1;2;2;1;2;2;2;1;2;3;5;1;1;0;4;0;2;31
"330385 Paty do Alferes";0;1;1;2;1;2;0;2;0;0;1;3;1;1;1;3;0;19
"330390 Petrópolis";27;36;22;33;35;31;21;30;12;21;27;21;13;16;23;18;16;402
"330395 Pinheiral";0;0;0;0;1;2;2;0;2;1;0;3;0;2;2;1;2;18
"330400 Piraí";4;2;3;2;4;2;3;1;4;3;2;4;4;3;3;0;1;45
"330410 Porciúncula";4;2;2;0;0;2;0;2;2;2;0;1;0;3;1;0;0;21
"330411 Porto Real";0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;1;2;8
"330412 Quatis";0;0;1;0;1;0;1;1;1;1;1;0;0;0;0;1;0;8
"330414 Queimados";13;17;12;14;18;15;19;17;23;21;25;14;15;22;27;28;23;323
"330415 Quissamã";2;1;0;1;1;0;0;0;1;3;1;3;1;0;0;1;2;17
"330420 Resende";10;5;7;8;9;2;1;3;6;3;7;7;1;5;2;5;2;83
"330430 Rio Bonito";0;0;1;3;3;1;2;3;4;2;2;5;4;2;3;2;1;38
"330440 Rio Claro";0;0;0;2;0;0;1;0;0;0;1;0;2;0;1;0;0;7
"330450 Rio das Flores";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2
"330452 Rio das Ostras";1;0;1;2;0;2;4;3;6;3;5;3;7;6;7;6;10;66
"330455 Rio de Janeiro";1376;1073;896;794;837;749;827;796;802;693;687;752;762;787;793;786;832;14242
"330460 Santa Maria Madalena";0;1;0;1;1;0;0;0;1;1;0;1;0;0;0;0;1;7
"330470 Santo Antônio de Pádua";1;1;2;0;3;1;1;1;5;1;6;4;5;1;3;3;3;41
"330480 São Fidélis";1;2;0;1;2;2;1;3;2;1;0;1;1;1;0;1;0;19
"330475 São Francisco de Itabapoana";0;1;0;1;0;3;4;4;3;2;2;1;0;1;1;1;1;25
"330490 São Gonçalo";96;99;90;81;61;94;98;87;88;80;72;74;71;79;68;88;76;1402
"330500 São João da Barra";0;0;2;0;1;1;1;1;2;1;2;1;0;3;3;2;4;24
"330510 São João de Meriti";59;42;53;51;46;50;46;68;62;53;46;57;47;60;51;52;47;890
"330513 São José de Ubá";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2
"330515 São José do Vale do Rio Preto";0;1;0;0;0;0;0;1;0;1;2;1;0;0;0;1;1;8
"330520 São Pedro da Aldeia";5;2;3;2;5;4;2;5;1;1;6;3;6;4;3;1;5;58
"330530 São Sebastião do Alto";0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3
"330540 Sapucaia";1;1;0;0;0;1;3;2;3;1;0;1;2;2;2;5;0;24
"330550 Saquarema";3;5;4;4;5;6;3;5;4;5;6;10;4;6;4;3;3;80
"330555 Seropédica";0;2;2;5;3;7;3;5;3;2;3;7;7;2;4;8;4;67
"330560 Silva Jardim";1;0;1;0;0;0;2;1;0;0;2;0;0;0;2;3;2;14
"330570 Sumidouro";0;1;0;0;1;1;0;1;0;0;0;0;1;0;1;1;0;7
"330575 Tanguá";0;2;0;1;1;0;1;1;2;0;4;4;0;4;2;1;3;26
"330580 Teresópolis";15;9;14;15;13;17;13;13;11;14;5;5;16;11;9;13;7;200
"330590 Trajano de Morais";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;4
"330600 Três Rios";5;6;1;8;3;3;7;8;6;6;7;3;5;9;8;15;9;109
"330610 Valença";6;5;2;3;1;1;4;2;5;5;4;3;1;4;8;4;2;60
"330620 Vassouras";6;0;1;1;4;3;2;0;4;2;6;0;1;4;1;4;4;43
"330630 Volta Redonda";15;23;12;13;19;24;20;18;18;20;27;22;15;19;15;16;16;312
"330000 Município ignorado - RJ";43;33;24;22;27;29;20;23;21;20;13;22;24;30;20;17;15;403
"350010 Adamantina";2;0;1;0;0;1;0;0;0;0;0;0;0;2;1;1;1;9
"350020 Adolfo";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2
"350030 Aguaí";1;2;0;0;3;6;2;3;1;1;2;0;0;0;4;0;2;27
"350040 Águas da Prata";0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;4
"350050 Águas de Lindóia";1;0;0;0;0;0;1;1;1;0;1;2;1;0;1;0;0;9
"350055 Águas de Santa Bárbara";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"350060 Águas de São Pedro";0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;5
"350070 Agudos";4;2;0;3;2;3;4;1;2;1;3;1;3;1;2;1;1;34
"350075 Alambari";0;1;0;0;0;0;2;0;0;0;1;1;0;0;0;0;1;6
"350080 Alfredo Marcondes";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"350100 Altinópolis";1;0;2;1;0;2;1;2;1;2;1;1;1;1;1;0;0;17
"350115 Alumínio";1;0;1;2;2;0;2;2;0;0;2;1;1;0;0;0;1;15
"350120 Álvares Florence";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"350130 Álvares Machado";3;3;3;3;0;2;1;0;0;0;1;0;2;2;1;0;1;22
"350140 Álvaro de Carvalho";0;0;0;2;0;0;2;0;2;1;0;0;0;1;1;0;0;9
"350150 Alvinlândia";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2
"350160 Americana";18;15;16;14;18;16;19;14;21;14;17;13;14;14;12;21;11;267
"350170 Américo Brasiliense";7;5;2;3;7;4;1;1;1;4;6;6;10;2;1;1;1;62
"350180 Américo de Campos";1;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;0;7
"350190 Amparo";12;4;5;4;9;14;9;8;4;8;8;4;5;7;4;2;5;112
"350200 Analândia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"350210 Andradina";11;9;7;8;5;5;6;5;5;3;6;4;8;4;5;5;3;99
"350220 Angatuba";1;1;3;1;4;0;1;1;0;0;1;0;2;0;3;0;0;18
"350230 Anhembi";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;3
"350250 Aparecida";10;8;10;2;8;8;4;8;4;9;2;7;4;5;4;3;0;96
"350260 Aparecida d'Oeste";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2
"350270 Apiaí";4;1;1;1;0;1;3;0;0;0;2;0;0;1;1;1;2;18
"350275 Araçariguama";1;0;0;0;0;0;1;0;2;0;1;0;0;0;1;0;1;7
"350280 Araçatuba";44;34;32;24;23;22;24;21;20;21;26;18;25;19;18;12;21;404
"350290 Araçoiaba da Serra";2;0;1;0;1;1;0;2;0;1;1;0;1;0;1;1;1;13
"350310 Arandu";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"350315 Arapeí";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"350320 Araraquara";60;57;50;37;41;39;40;20;29;26;29;24;18;11;20;18;15;534
"350330 Araras";19;14;10;14;13;20;18;17;17;15;10;16;17;10;13;11;10;244
"350335 Arco-Íris";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"350340 Arealva";1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;4
"350350 Areias";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"350360 Areiópolis";0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;4
"350370 Ariranha";0;1;1;0;0;0;2;0;1;0;1;0;0;0;0;1;0;7
"350380 Artur Nogueira";1;2;2;2;0;1;2;0;1;3;0;1;0;2;0;1;0;18
"350390 Arujá";5;5;3;3;5;6;4;5;2;3;4;3;4;6;5;2;3;68
"350395 Aspásia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"350400 Assis";11;12;11;7;6;13;6;9;11;6;7;10;7;5;6;2;8;137
"350410 Atibaia";19;19;12;10;13;7;9;6;7;7;4;6;9;11;9;5;5;158
"350420 Auriflama";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"350430 Avaí";2;0;1;0;0;1;1;2;0;0;2;0;2;1;1;0;1;14
"350440 Avanhandava";0;1;1;0;0;1;0;1;1;0;1;2;1;0;0;0;0;9
"350450 Avaré";10;9;5;7;1;4;1;3;6;5;3;6;3;1;5;6;1;76
"350460 Bady Bassitt";1;0;1;1;2;0;2;0;4;1;1;1;1;0;2;2;1;20
"350470 Balbinos";0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;4;1;9
"350480 Bálsamo";0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;5
"350490 Bananal";0;1;0;2;0;0;0;2;0;0;0;0;0;0;0;1;0;6
"350510 Barbosa";0;0;0;1;0;0;1;0;0;0;0;1;1;0;3;2;0;9
"350520 Bariri";3;2;0;1;2;1;1;1;3;1;0;1;2;0;1;0;2;21
"350530 Barra Bonita";4;2;2;2;4;2;3;2;1;3;2;2;1;3;2;2;4;41
"350540 Barra do Turvo";0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;4
"350550 Barretos";38;42;41;38;35;33;32;37;26;26;22;18;27;25;26;20;8;494
"350560 Barrinha";3;1;1;3;2;2;3;0;5;1;3;1;4;2;1;1;0;33
"350570 Barueri";19;26;19;23;26;16;17;16;15;21;12;13;14;12;20;16;18;303
"350580 Bastos";1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;5
"350590 Batatais";5;10;1;2;7;7;4;5;3;5;2;4;2;6;5;2;7;77
"350600 Bauru";88;76;36;52;52;48;56;53;46;56;49;52;43;30;37;40;37;851
"350610 Bebedouro";37;28;29;28;22;26;19;14;13;8;15;16;14;12;8;6;6;301
"350620 Bento de Abreu";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2
"350630 Bernardino de Campos";1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3
"350635 Bertioga";4;4;6;1;3;4;5;5;4;2;1;8;3;7;11;2;2;72
"350640 Bilac";1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;4
"350650 Birigui";11;10;7;9;11;9;7;7;11;8;5;6;8;4;11;7;5;136
"350660 Biritiba-Mirim";2;0;0;1;0;2;0;0;2;3;2;2;0;1;0;3;0;18
"350670 Boa Esperança do Sul";1;3;1;0;0;1;1;2;1;1;2;0;2;1;0;3;0;19
"350680 Bocaina";1;0;0;2;1;0;1;1;2;0;1;0;0;0;0;1;2;12
"350690 Bofete";0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;3
"350700 Boituva";3;2;0;0;2;3;0;5;2;4;1;0;1;5;0;2;6;36
"350710 Bom Jesus dos Perdões";2;2;1;0;2;0;0;0;1;0;0;1;1;0;1;1;1;13
"350715 Bom Sucesso de Itararé";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
"350730 Boracéia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"350740 Borborema";0;1;1;0;1;0;1;0;1;1;2;1;0;0;2;0;0;11
"350750 Botucatu";14;6;4;3;5;5;7;7;8;2;0;2;2;3;2;8;7;85
"350760 Bragança Paulista";18;15;8;10;9;13;17;10;13;10;6;14;7;8;12;7;4;181
"350770 Braúna";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"350775 Brejo Alegre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"350780 Brodowski";0;4;1;0;0;0;3;1;0;2;1;0;1;0;0;1;2;16
"350790 Brotas";1;2;0;1;1;2;3;1;1;2;3;2;2;2;0;1;1;25
"350800 Buri";1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;4
"350810 Buritama";4;2;0;1;3;1;0;0;3;2;0;1;2;1;1;1;0;22
"350830 Cabrália Paulista";0;2;1;0;0;0;0;0;1;2;1;0;0;0;0;0;1;8
"350840 Cabreúva";0;0;2;1;1;1;0;1;2;0;0;0;0;0;0;2;1;11
"350850 Caçapava";32;31;14;22;29;26;26;25;17;13;12;10;11;20;14;13;9;324
"350860 Cachoeira Paulista";1;3;2;2;0;3;4;3;2;3;3;3;3;2;1;2;3;40
"350870 Caconde";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
"350880 Cafelândia";0;0;2;0;1;0;1;1;0;1;1;1;0;0;2;0;1;11
"350890 Caiabu";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"350900 Caieiras";10;2;3;2;3;8;7;4;2;4;3;6;7;4;4;4;1;74
"350910 Caiuá";0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3
"350920 Cajamar";11;6;5;2;1;2;1;3;2;5;2;5;3;5;2;1;3;59
"350925 Cajati";3;4;4;2;0;2;1;5;3;3;4;1;1;2;7;0;2;44
"350930 Cajobi";0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;3
"350940 Cajuru";2;1;0;0;0;4;2;0;4;2;0;0;3;0;1;0;1;20
"350945 Campina do Monte Alegre";0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;1;5
"350950 Campinas";180;146;141;106;101;95;81;81;77;85;58;53;90;51;64;70;61;1540
"350960 Campo Limpo Paulista";14;7;1;5;4;5;6;7;4;5;4;3;4;5;4;5;2;85
"350970 Campos do Jordão";4;10;6;10;5;6;7;9;9;9;4;3;5;4;3;5;3;102
"350980 Campos Novos Paulista";1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4
"350990 Cananéia";1;2;0;1;3;3;1;1;2;1;0;1;0;1;3;1;0;21
"350995 Canas";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
"351000 Cândido Mota";1;1;0;1;3;0;0;2;2;3;1;1;0;1;0;1;3;20
"351010 Cândido Rodrigues";2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3
"351020 Capão Bonito";2;1;1;3;1;3;1;2;1;0;1;3;0;4;0;2;3;28
"351030 Capela do Alto";2;0;0;1;0;0;0;0;1;2;0;0;1;0;1;2;1;11
"351040 Capivari";6;12;7;5;14;5;5;6;2;5;7;1;10;10;10;2;11;118
"351050 Caraguatatuba";12;8;14;5;5;12;9;1;11;9;5;13;17;12;10;16;13;172
"351060 Carapicuíba";41;27;32;27;29;20;32;28;27;21;22;26;18;29;20;11;19;429
"351070 Cardoso";0;0;1;1;0;1;0;1;1;1;0;0;0;2;2;2;0;12
"351080 Casa Branca";2;1;1;1;3;2;2;1;2;1;1;3;4;2;2;1;1;30
"351100 Castilho";1;1;0;0;0;0;0;0;1;1;0;2;1;0;1;0;0;8
"351110 Catanduva";35;31;32;17;26;32;31;11;23;23;17;23;19;17;19;21;12;389
"351120 Catiguá";0;0;2;1;0;0;3;0;0;2;0;0;0;0;0;1;1;10
"351130 Cedral";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2
"351140 Cerqueira César";1;0;0;1;0;0;0;0;1;2;1;0;0;0;1;0;1;8
"351150 Cerquilho";3;2;0;1;3;1;1;3;2;2;1;1;0;3;2;5;2;32
"351160 Cesário Lange";0;0;0;1;2;0;0;0;0;0;0;0;1;1;1;0;1;7
"351170 Charqueada";2;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;6
